Fold,Euclidean Original - Protected,Euclidean Original - Reconstructed,Hausdorff Original - Protected,Hausdorff Original - Reconstructed,Jaccard Original - Protected,Jaccard Original - Reconstructed
1,432.8868109274793,288.29485749280923,969.385387148768,541.6454215319708,0.8884984349008617,0.9239404496354499
1,455.76093572157464,471.6226971200756,1777.3737275693422,1065.4396583406813,0.9076624117858527,0.9210217664612403
1,1228.16072522252,547.4323513349518,1859.7306473868207,931.0947609422224,0.8950265700866271,0.9023527924165329
1,469.65948629144197,341.9207589822395,851.1202185774094,934.6515142596695,0.7958558649266024,0.8255110033622326
1,565.2426898064789,397.9681031684496,1375.7880040958491,789.6326284128398,0.7916405261175972,0.8095740579557702
1,448.2669316112035,353.9595738541876,950.3891677388906,820.2719796548855,0.7920136143204429,0.8041158886490646
1,358.9945690090512,482.5895364659975,957.041201194295,962.2260312239264,0.8951422447711278,0.9082854048305238
1,770.0963373945859,499.2019812714939,1602.3405683865544,1375.9560588539161,0.9042974054883716,0.9400655543942184
1,520.3874041693427,573.0091263188436,972.8865468898161,862.2513952720346,0.8125149454195086,0.8978799052324582
1,502.6781422018763,388.32535165959604,1310.9808851315336,1108.5191180727923,0.9025822612301013,0.9023184490516822
1,784.8375521048517,525.6058710415717,1261.0525467760237,1064.0922703094511,0.737506633307531,0.8015292431016244
1,870.1327054957404,611.931784200703,1381.30614126851,771.7916500720544,0.40473957860125465,0.5277862762296432
1,574.1716571412295,413.81933783453894,994.941041276039,735.9178877021649,0.46292076464568144,0.518147230291058
1,694.4439151286481,448.9403632968067,1183.988002925585,749.2527711331131,0.6470453715846972,0.818769062572124
1,620.7505307348371,465.6999564838472,1732.4693854144427,1643.219098971879,0.7473729179282026,0.7603158895379942
1,593.8158657006403,496.9325648350511,2718.013688712936,2176.745695476379,0.7933933150434687,0.771664589507722
1,402.53129196626594,271.00633652984914,573.8362037786933,603.8839220967272,0.8411484244942659,0.8418434132458747
1,701.0878564188955,498.40571798502936,956.6852081057045,1246.4592372391596,0.6918217909002535,0.7186815543073474
1,567.6232481061936,422.68735163152894,1208.8311719540065,845.8515013493085,0.390929469702014,0.5198019867795466
1,331.73571786498917,216.51193108361417,459.1381286932912,324.80157231354207,0.6738302016663894,0.8253501619530333
1,545.7159565684663,373.69184467964214,865.960793646005,738.8885549093927,0.7340893733943938,0.8301451447120121
1,354.2355769965365,304.7411001081861,820.8006847335802,651.9682889653467,0.7689628680891931,0.8144812883929189
1,443.24204337836443,294.87500167703047,709.5194062407741,660.2931704311037,0.21247935816742453,0.2666766292256914
1,482.553595986905,282.00694877580685,512.4500590302255,325.4494131049233,0.321687791164465,0.6009914727015747
1,576.9194608897462,368.9877548857065,894.4442564282637,711.8141753538143,0.5474564455751726,0.5797304081359508
1,748.6682859206377,519.4919097032672,960.1192900110001,841.7947655479084,0.0,0.11136631858592212
1,951.7320233449726,609.0707832363529,1414.5202884326388,1189.1806834964514,0.5103298966465782,0.5025784455485324
1,564.3914496254778,490.2103638290777,913.5838010248493,816.9882703739534,0.8561546710240778,0.8826351239500175
1,345.4595353499894,295.37920044144664,924.4908641881907,559.9552135783117,0.8007875229274348,0.8248958246419078
1,578.4267111075665,417.42738382574316,2061.568463362082,2080.75999853113,0.8576974294683446,0.7484668709716774
1,475.37394596527395,356.91844550519977,986.7640849676312,570.9875292458264,0.4084035465326587,0.5095390236041402
1,397.6895231328498,386.2473535068894,741.9692145032604,587.0315803965592,0.32383000235395465,0.3940590992591413
1,840.782891228255,581.82074131474,3613.4875943747443,2841.3043435561217,0.6846099675046098,0.726082620079043
1,1182.6980798032948,1047.3609401867955,2636.8594623505965,2527.6348327738656,0.2579615148470547,0.3575376063420953
1,1045.4313860821298,1229.1442825580048,2972.723290967415,2436.1711467862474,0.22889368950368616,0.40902674018464574
1,1098.0491449655415,1077.9734503314517,2653.3249963290564,2182.192760744619,0.3814611953602313,0.5339014167590961
1,1063.2953080804475,1394.513916638346,2626.472498748693,2132.2215560866525,0.2862007962394531,0.3910209744343732
1,724.4132598729115,412.88994671229653,1247.942319091893,807.6003573520007,0.7722910876613196,0.8851816513740617
1,513.5888293071052,369.83883876855487,907.1143016717148,705.3408920381595,0.5043428672456353,0.6355218046565965
1,592.6141035952842,454.5910068554353,1265.4413022234,1150.8920936580103,0.7185460001007793,0.7931496175729824
1,574.6556223651826,460.141491656509,1012.5676680688733,943.0767528421842,0.23500973562365307,0.19785570099854946
1,381.6777502078307,272.53624342102023,610.9120787470205,627.3965338891452,0.7325216111007223,0.8039710434511642
1,729.1583586892236,488.8334273705565,977.5603239995467,690.7618346775687,0.2810717354376313,0.423862211771559
1,738.3544534463323,474.49522584029745,1498.3738430730323,1329.8141413055778,0.4481915132740879,0.5344181277576631
1,596.2642387839742,408.8192138558711,1180.1632540392743,787.8409331339644,0.5471448170483478,0.5727797741560636
1,640.9215646226462,450.2410420743727,1158.8096792110282,963.6693739967117,0.4675580420176189,0.5600410292421014
1,332.5166731289985,223.54115565444383,529.3626598015472,316.04436135183164,0.5827245830667359,0.8222473074351485
1,626.108177087339,433.55454336407377,1075.1637385291117,815.6336986629262,0.8123703998098619,0.8749886198786528
1,581.0228109725194,461.93555414213773,1251.647366051711,1243.26857900992,0.8461551937262545,0.8419300375804305
1,608.0922241213252,374.6308623900564,1158.5061655530096,746.259458776467,0.8112813625190368,0.8486938270564987
1,332.2750539692642,405.2512037388354,654.9747668546986,751.8443164293936,0.9581822833436917,0.9200545576620105
1,434.5157320889228,404.67967132196003,915.8939538007082,969.9639270123026,0.8832655433087498,0.9060553222203444
1,372.3929735194617,455.2423574699443,722.2187107231908,920.5625871747927,0.9331532832789624,0.8770815005279476
1,752.7494887144642,552.6541625368499,1255.0058996780524,1019.1323038264354,0.3163373181910619,0.46133656512248367
1,597.5631327855492,473.8358938334237,1249.5518885044003,1157.3555768762562,0.8747085970990913,0.8575339833220889
1,528.4766216799388,414.59812614082097,1196.6307081389193,1000.2386293071758,0.8774170387024578,0.9040868296749403
1,761.5115979206466,540.8686373013227,1390.0987919523884,1012.1123687183856,0.8485167674192063,0.8926661641579782
1,518.8065742962414,416.2610865582607,1016.3929982039368,820.1542708398846,0.8880901940564743,0.878514664200894
1,735.7049499182551,379.7410677844814,1518.5934978951375,712.6519249559406,0.8973896054681145,0.9414743608378155
1,667.6737279205956,402.4084677602594,1033.2336562679504,848.97838920025,0.9070880691488925,0.926126577937907
1,516.2359918479289,457.11925382181636,813.6705768180477,927.5315021864044,0.8523817996484889,0.8186409684751801
1,663.81262611393,434.6754692714643,1340.9411659738903,802.5058120518648,0.8051631007814981,0.848943066341583
1,660.5933184060247,833.2604575517543,1126.9261951494827,1413.5344026212706,0.8821522356774707,0.8431434059814185
1,662.102177548016,294.88330139716504,948.8660228740295,750.0248529513175,0.7089852405332441,0.8136102454073864
1,591.2354830577883,378.91503311922185,875.0111558629922,699.6861774754462,0.8887266318036099,0.9046019646136318
1,484.31173211862324,324.6676035569292,906.4546671097972,864.9578272700068,0.8961087360700637,0.910529278140024
1,615.5514160661395,428.7304809491529,919.3090323281813,1066.8514121434157,0.5882810024421721,0.7173047088277535
1,428.39355692995224,380.5888468542293,904.114013315246,765.2992295363426,0.6705371462371467,0.7709712675483218
1,473.8978824702832,447.761352262977,673.0744743705353,767.3258018468732,0.7134554740112726,0.7087544942992958
1,513.6690310002137,423.5996465789864,865.8427729307399,703.4349110768081,0.772988412735753,0.8041253688976758
1,388.3080804453667,360.24142128864645,1031.6930584750355,879.7973613941763,0.7372357624443988,0.7214099555406664
1,355.6126497340627,318.8477511144423,1095.8170380939355,1131.2323051075673,0.7990325158518902,0.8203510153613821
1,402.7456145613374,366.44309281441224,974.3578378190576,962.1844680376405,0.827748044538362,0.9023640169783697
1,738.4023337086518,549.1765236108253,3105.392892838723,2310.9067479893174,0.9028593688929217,0.8895084238902853
1,671.0656407408707,442.4843404260817,1141.071957048379,776.3814714520886,0.21586810600033457,0.375930692980482
1,777.1268736966738,512.339626622043,1119.957809355781,1028.631162363663,0.4807787500102408,0.6106517413194723
1,790.4317475469829,704.3013012974536,1911.4478877465704,1586.357298813882,0.9004138389349886,0.8669337984336132
1,571.4842180706924,569.9047776587811,892.5283527405593,1052.389069893458,0.9185545181149293,0.9022028336821054
1,890.0566944514072,807.9940592623088,1768.1354012741203,1697.3502023107153,0.7699160668019845,0.7818696215778346
1,313.71842408880485,297.602161701806,681.0081336025718,777.1814783300463,0.9121323673963043,0.8899384569375298
1,468.0993915098359,339.81169404488907,898.3180388670712,806.060714678236,0.7982989389062578,0.9109111910217755
1,581.332343776259,446.61588895011477,952.3638634198742,696.1565100276752,0.5746390365885469,0.6752424516320419
1,364.91430607313004,289.41846626249463,746.9682341179029,542.7451754613818,0.4888318228803968,0.554236016397226
1,660.0558265690942,472.78122937486586,947.444081343719,740.9588206993477,0.7591860320004398,0.7590334262255709
1,690.9861319627583,526.3394278804035,1203.7986880128371,927.5228718650006,0.612200105266641,0.7274208610492903
1,764.1571508405808,601.033441772567,964.1159338960063,643.8627048781449,0.5418394881280408,0.6447006624707777
1,416.1891381395025,540.1646821702078,703.9769173945032,749.3883326158517,0.743134213331163,0.6317896145513433
1,384.53909502329145,311.50059478349175,590.8654936421719,489.77709146845604,0.6832748987270867,0.7481684920128959
1,402.5352843311857,293.648162036292,555.2093177472403,573.5465562935137,0.6611309613387045,0.77483521692416
1,720.4251614849763,515.008338129711,1140.059233946835,739.7484444655521,0.22236127334154182,0.39094445532085953
1,643.023553916117,458.97413557429184,828.2124815332039,601.1996984728395,0.2899099789458962,0.417785026225191
1,321.8201868367715,352.94844729292714,549.7937635147539,625.6804996727678,0.5830369946391647,0.7224126084419554
1,507.9958892624194,526.9817312352321,1018.1670120348093,985.0685311526806,0.7955564561645487,0.7909743446817029
1,450.4844478366481,492.523591374555,784.4223478147483,820.2957735925974,0.6034272948643188,0.603129360619763
1,356.61425315043215,294.7254247229799,791.7156821018283,672.9551585137934,0.9307292640031897,0.9136616618809745
1,875.8599635341172,617.1175727958,3481.2051814017886,2591.630187001491,0.8251145345361639,0.8671415980452613
1,549.1290877701289,607.7337850509965,1394.74158041401,1298.3526885872327,0.597023936506283,0.7702174586202921
1,803.6787454158757,696.71162542806,2065.1252424639774,1332.6204097996028,0.3856078857393487,0.4655199762680185
1,698.646274444054,820.6743195787518,921.3208626950999,1084.7138675988133,0.40861880329356515,0.3941677182856282
1,640.5114075729005,755.4613191845997,1054.0603321536541,1059.905493777675,0.5109640475401598,0.481389750035566
1,391.172243377085,372.7518748957715,518.2108779925338,661.5920897613577,0.34593124459615293,0.3944964816156138
