haversine_mean [m],euclidean_mean,hour_abs,hour_rel,day_abs,day_rel,run,dataset,epochs,num_batches,num_trajectories,num_points,runtime
864.9498285460256,13.116480213890812,48282,0.02244314259776517,233,0.00010830645427445599,1,geolife,11,2000,23168,2151303,662.1595257349982
227.5864423959182,4.7081393081033855,140171,0.06507837019703976,209,9.703418946273701e-05,2,geolife,11,2000,23168,2153880,303.8112170789973
491.56688151911527,8.473647499612976,2753,0.0012729699874090181,238,0.00011004971195181487,3,geolife,11,2000,23168,2162659,294.1962514420011
223.62506652804228,4.568939280320573,35510,0.016450286640801438,179,8.292315710232208e-05,4,geolife,11,2000,23168,2158625,298.5121030320006
652.5854514305103,11.708620071169882,122362,0.056930431647145036,176,8.18861735661196e-05,5,geolife,11,2000,23168,2149325,294.2956171620026
