run,dataset,loss,epochs,num_batches,num_trajectories,runtime,haversine_mean [m],euclidean_mean,hour_abs,hour_rel,day_abs,day_rel
1,geolife,STD,11,2000,23168,627.8296119230072,864.9498285460256,13.116480213890812,48282,0.02244314259776517,233,0.00010830645427445599
1,geolife,NO BCE,11,2000,23168,245.36127378899255,494.88555831444916,8.418891456674656,107184,0.04982282830452056,229,0.00010644711600364987
1,geolife,BCE ONLY,11,2000,23168,267.49091024200607,9143.013773071347,170.03621246597666,2044281,0.9502524748954471,1858703,0.8639894054905329
2,geolife,STD,11,2000,23168,270.1027070259879,339.4852531474768,6.224501176194667,26258,0.012191022712500232,216,0.00010028413839211098
2,geolife,NO BCE,11,2000,23168,252.34308944900113,391.3044010297322,7.254555893977662,51849,0.024072371719872972,250,0.00011606960462049883
2,geolife,BCE ONLY,11,2000,23168,289.7276764010021,8456.509660273947,146.38558421056217,2012250,0.934244247590395,1863579,0.8652195108362583
3,geolife,STD,11,2000,23168,274.087267209994,408.7829246057092,7.470375802051252,47869,0.022134326308493386,267,0.0001234591306350192
3,geolife,NO BCE,11,2000,23168,254.19265758500842,257.69230904111026,4.802986288542919,1949,0.0009012054142608705,234,0.00010820013696102806
3,geolife,BCE ONLY,11,2000,23168,265.7096475559956,9761.349667767876,168.95548375155073,2006287,0.9276945648851714,1825655,0.8441714574512209
4,geolife,STD,11,2000,23168,270.12954093200096,231.3807303737365,4.7798077554779095,77545,0.03592333082401992,244,0.00011303491806126585
4,geolife,NO BCE,11,2000,23168,252.0081733870029,711.0346062534505,10.681955320567335,77466,0.03588673345300828,221,0.00010237998726040883
4,geolife,BCE ONLY,11,2000,23168,266.6584151309944,7630.659137343491,137.09708165806026,2040246,0.9451599976837107,1861948,0.8625620475997452
5,geolife,STD,11,2000,23168,298.5602013970056,410.3943336643626,7.48872136833268,68574,0.03190490037569935,211,9.817035580938202e-05
5,geolife,NO BCE,11,2000,23168,256.43296113199904,346.68084909705124,6.556954677323059,52583,0.024464890139927652,209,9.723983110976702e-05
5,geolife,BCE ONLY,11,2000,23168,267.58919249099563,10460.687508511475,197.19790542751718,2039612,0.94895467181557,1835418,0.8539508915589779
